actualDist,rttRaw,estDistRaw,absErrRaw,rttEst,estDistEst,absErrEst,varRtt,meanRtt,countRtt,meanRss,distEst,rttNovoRaw,errNovoRaw,rttNovoEst,errNovoEst,errArtigo
2,19,2.8480283510000004,0.8480283510000004,7,1.049273603,0.950726397,0.9821428571428572,19.875,8,-65.0,1.1699999570846558,17,0.5482358929999998,6,1.100622626,0.8300000429153442
2,19,2.8480283510000004,0.8480283510000004,7,1.049273603,0.950726397,0.2142857142857142,19.25,8,-65.125,1.1699999570846558,17,0.5482358929999998,6,1.100622626,0.8300000429153442
2,20,2.9979245800000003,0.9979245800000004,8,1.1991698320000002,0.8008301679999998,0.125,19.875,8,-65.0,1.2999999523162842,17,0.5482358929999998,6,1.100622626,0.7000000476837158
2,19,2.8480283510000004,0.8480283510000004,7,1.049273603,0.950726397,0.2678571428571428,19.375,8,-65.125,1.1699999570846558,17,0.5482358929999998,6,1.100622626,0.8300000429153442
2,19,2.8480283510000004,0.8480283510000004,7,1.049273603,0.950726397,0.2678571428571428,19.375,8,-65.0,1.1699999570846558,17,0.5482358929999998,6,1.100622626,0.8300000429153442
2,19,2.8480283510000004,0.8480283510000004,7,1.049273603,0.950726397,2.2380952380952377,19.285714285714285,7,-65.0,1.1699999570846558,17,0.5482358929999998,6,1.100622626,0.8300000429153442
2,19,2.8480283510000004,0.8480283510000004,7,1.049273603,0.950726397,0.2142857142857142,19.75,8,-65.0,1.1699999570846558,17,0.5482358929999998,6,1.100622626,0.8300000429153442
2,19,2.8480283510000004,0.8480283510000004,7,1.049273603,0.950726397,1.125,19.375,8,-65.125,1.1699999570846558,17,0.5482358929999998,6,1.100622626,0.8300000429153442
2,19,2.8480283510000004,0.8480283510000004,7,1.049273603,0.950726397,1.0714285714285714,19.25,8,-65.0,1.1699999570846558,17,0.5482358929999998,6,1.100622626,0.8300000429153442
2,18,2.6981321220000005,0.6981321220000005,6,0.8993773740000001,1.1006226259999998,0.125,19.125,8,-65.625,1.0399999618530271,17,0.5482358929999998,6,1.100622626,0.9600000381469729
2,18,2.6981321220000005,0.6981321220000005,6,0.8993773740000001,1.1006226259999998,0.8571428571428571,19.0,8,-65.375,1.0399999618530271,17,0.5482358929999998,6,1.100622626,0.9600000381469729
2,19,2.8480283510000004,0.8480283510000004,7,1.049273603,0.950726397,0.2678571428571428,19.375,8,-65.125,1.1699999570846558,17,0.5482358929999998,6,1.100622626,0.8300000429153442
2,19,2.8480283510000004,0.8480283510000004,7,1.049273603,0.950726397,2.7857142857142856,19.75,8,-65.0,1.1699999570846558,17,0.5482358929999998,6,1.100622626,0.8300000429153442
2,20,2.9979245800000003,0.9979245800000004,8,1.1991698320000002,0.8008301679999998,0.8571428571428571,20.0,8,-65.0,1.2999999523162842,17,0.5482358929999998,6,1.100622626,0.7000000476837158
2,19,2.8480283510000004,0.8480283510000004,7,1.049273603,0.950726397,1.1428571428571428,19.5,8,-65.0,1.1699999570846558,17,0.5482358929999998,6,1.100622626,0.8300000429153442
2,19,2.8480283510000004,0.8480283510000004,7,1.049273603,0.950726397,0.2678571428571428,19.625,8,-65.0,1.1699999570846558,17,0.5482358929999998,6,1.100622626,0.8300000429153442
2,19,2.8480283510000004,0.8480283510000004,7,1.049273603,0.950726397,0.2142857142857142,19.25,8,-65.0,1.1699999570846558,17,0.5482358929999998,6,1.100622626,0.8300000429153442
