Ponto,actualDist,rttRaw,estDistRaw,absErrRaw,rttEst,estDistEst,absErrEst,varRtt,meanRtt,countRtt,meanRss,distEst,rttNovo,distNovo,errNovo,errOwn
1,2.52667766,86,12.89107569,10.36439803,65,9.743254885,7.216577225,2.839285714,86.375,8,-74.75,9.880000114,82,12.29149078,9.764813118,7.353322454
1,9.895958771,154,23.08401927,13.18806049,130,19.48650977,9.590550999,17.28571429,154.4285714,7,-85,19.60000038,119,17.83765125,7.94169248,9.704041609
1,7.919318152,117,17.53785879,9.618540641,92,13.79045307,5.871134916,2,118,8,-73,13.90999985,109,16.33868896,8.419370809,5.990681698
1,2.520495983,38,5.696056702,3.175560719,24,3.597509496,1.077013513,1.553571429,39.125,8,-75,3.640000105,27,4.047198183,1.5267022,1.119504122
1,2.52667766,84,12.59128324,10.06460558,64,9.593358656,7.066680996,1.928571429,84.75,8,-75,9.619999886,82,12.29149078,9.764813118,7.093322226
1,9.895958771,149,22.33453812,12.43857935,127,19.03682108,9.140862312,36.61904762,149.5714286,7,-85.14285714,19.10000038,119,17.83765125,7.94169248,9.204041609
1,7.919318152,118,17.68775502,9.76843687,93,13.9403493,6.021031145,4.982142857,118.125,8,-72.75,14.03999996,109,16.33868896,8.419370809,6.120681808
1,2.520495983,35,5.246368015,2.725872032,21,3.147820809,0.627324826,3.714285714,36,8,-75,3.25,27,4.047198183,1.5267022,0.729504017
1,2.52667766,85,12.74117947,10.2145018,65,9.743254885,7.216577225,5.142857143,85.5,8,-75,9.75,82,12.29149078,9.764813118,7.22332234
1,9.895958771,153,22.93412304,13.03816427,130,19.48650977,9.590550999,23.28571429,153.5714286,7,-84.71428571,19.5,119,17.83765125,7.94169248,9.604041229
1,7.919318152,119,17.83765125,9.918333099,94,14.09024553,6.170927374,2.839285714,119.375,8,-72.875,14.17000008,109,16.33868896,8.419370809,6.250681928
1,2.520495983,37,5.546160473,3.02566449,23,3.447613267,0.927117284,11.47619048,38.14285714,7,-74.57142857,3.50999999,27,4.047198183,1.5267022,0.989504007
1,2.52667766,86,12.89107569,10.36439803,65,9.743254885,7.216577225,3,87,7,-75.14285714,9.880000114,82,12.29149078,9.764813118,7.353322454
1,9.895958771,154,23.08401927,13.18806049,130,19.48650977,9.590550999,34.78571429,154.75,8,-84.5,19.60000038,119,17.83765125,7.94169248,9.704041609
1,7.919318152,119,17.83765125,9.918333099,94,14.09024553,6.170927374,2.238095238,119.7142857,7,-73,14.17000008,109,16.33868896,8.419370809,6.250681928
